old	new	old_len	new_len
__OPENGL_RENDER_TRAVERSAL_CALLBACK__	OPNGL_RNDR_TRVRS_CLLBC	36	22
addElementToHierarchiesDeletionCache	addElemTHrrchDltnCch	36	20
hierarchicRefinementStoreInteraction	hierRefStoreInter	36	17
indirectImportanceWeightedUnShotFlux	indrcImpWghtdUnShotFlux	36	23
monteCarloRadiosityInstallCoordinate	mntCarloRadInstCoord	36	20
monteCarloRadiosityNewMidpointVertex	mntCarloRadNewMidVtx	36	20
monteCarloRadiosityScalarReflectance	mntCarloRadSclrRefl	36	19
randomWalkRadiosityScalarReflectance	rndmWalkRadSclrRefl	36	19
randomWalkRadiosityScalarSourcePower	rndmWalkRadSclrSrcPwr	36	21
sceneBuilderFillLightSourcePatchList	sceneBldFillLightSrcPtchList	36	28
stochasticRadiosityClearCoefficients	stchsRadClearCoeff	36	18
stochasticRadiosityElementIsTextured	stchsRadElemITex	36	16
stochasticRadiosityScaleCoefficients	stchsRadScaleCoeff	36	18
DEFAULT_NUMBER_OF_QUARTIC_DIVISIONS	DF_NUM_O_QRTC_DVSNS	35	19
MGF_ERROR_WRONG_NUMBER_OF_ARGUMENTS	MGF_ERRR_WRNG_NUM_O_ARGMN	35	25
OptionsGroupBidirectionalRaytracing	OptsGrpBidirRaytr	35	17
PropagateRadianceToClusterIsotropic	PropRadnTClustIstrp	35	19
__COMMAND_LINE_CORE_OPTIONS_GROUP__	CMMND_LINE_CORE_OPTNS_GRP	35	25
__STOCHASTIC_RAYTRACING_PATH_NODE__	STCHS_RYTRC_PATH_NODE	35	21
inNumberOfReceiverCubaturePositions	iNumORecvCbtrPstns	35	18
mgfDefaultHandlerForUnknownEntities	mgfDfltHndlrFUnknwEntts	35	23
monteCarloRadiosityDestroyPatchData	mntCarloRadDestroyPtchData	35	26
monteCarloRadiosityElementNeighbour	mntCarloRadElemNghbr	35	20
monteCarloRadiosityReInitImportance	mntCarloRadReInitImp	35	20
monteCarloRadiosityUpdateImportance	mntCarloRadUpdImp	35	17
photonMapDoComputePixelFluxEstimate	phtnMapDCompPxlFluxEstmt	35	24
sceneBuilderBuildBinaryFallbackPath	sceneBldBldBnryFllbcPath	35	24
sourceClusterRadianceVariationError	srcClustRadnVrtnErrr	35	20
stochasticJacobiPropagateImportance	stchsJacPropImp	35	15
stochasticJacobiPushUpdatePullChild	stchsJacPushUpdPullChld	35	23
stochasticJacobiPushUpdatePullSweep	stchsJacPushUpdPullSwp	35	22
stochasticRadiosityCopyCoefficients	stchsRadCopyCoeff	35	17
COLOR_NOMINAL_MAXIMUM_SAMPLE_VALUE	CLR_NOM_MAX_SMP_VAL	34	19
CommandLineToneMappingOptionsGroup	CmdLineToneMppngOptsGrp	34	23
PhongEmittanceDistributionFunction	PhongEmitDistFunc	34	17
StochasticRadiosityElementTypeInfo	StochRadElemTypeInfo	34	20
TONE_MAPPING_METHODS_STRING_LENGTH	TONE_MAP_MTHS_STR_LEN	34	21
__APPROXIMATION_TYPE_DESCRIPTION__	APPRX_TYPE_DSCRP	34	16
__FORM_FACTOR_CLUSTERED_STRATEGY__	FORM_FCTR_CLSTR_STRTG	34	21
evaluateProbabilityDensityFunction	evalProbDensFunc	34	16
galerkinElementReAllocCoefficients	glrknElemReAllcCoeff	34	20
inNumberOfBasisFunctionsOnReceiver	iNumOBasisFnctnORecv	34	20
monteCarloRadiosityCreatePatchData	mntCarloRadCreatePtchData	34	25
monteCarloRadiosityInitClusterPull	mntCarloRadInitClustPull	34	24
monteCarloRadiosityInitSurfacePush	mntCarloRadInitSurfPush	34	23
monteCarloRadiosityInstallTexCoord	mntCarloRadInstTexCoord	34	23
monteCarloRadiosityPullImportances	mntCarloRadPullImps	34	19
printGalerkinElementForPatchBridge	prntGalElemFPtchBrdg	34	20
randomWalkRadiosityGatheringUpdate	rndmWalkRadGthrnUpd	34	19
renderSecondarySelectedPatchMarker	rndrSecSelPtchMark	34	18
sceneBuilderApplyModelToMgfContext	sceneBldApplyMdlTMgfCtx	34	23
sceneBuilderCreateClusterHierarchy	sceneBldCreateClustHier	34	23
stochasticJacobiRefineAndPropagate	stchsJacRfnAProp	34	16
stochasticJacobiShootRaysRecursive	stchsJacShtRaysRec	34	18
stochasticRadiosityAddCoefficients	stchsRadAddCoeff	34	16
stochasticRadiosityCreateQuadBasis	stchsRadCreateQuadBasis	34	23
topLevelStochasticRadiosityElement	topLvlStochRadElem	34	18
MGF_ERROR_CAN_NOT_OPEN_INPUT_FILE	MGF_ERRR_CAN_NOT_OPEN_INPT_FILE	33	31
MGF_ERROR_UNMATCHED_CONTEXT_CLOSE	MGF_ERRR_UNMTC_CNTXT_CLS	33	24
OpenGlRenderPatchCallbackWithData	OpenGlRndrPtchCllbcWithData	33	27
StochasticRaytracingApproximation	StochRaytrApprx	33	15
StochasticRaytracingConfiguration	StochRaytrConfig	33	16
VERTEX_COMPARE_TEXTURE_COORDINATE	VRTX_CMPR_TXTR_CRDNT	33	20
__BOUNDING_BOX_COORDINATE_INDEX__	BNDNG_BOX_CRDNT_INDX	33	20
__JAVA_IO_BUFFERED_INPUT_STREAM__	JAVA_IO_BFFRD_INPT_STRM	33	23
__PHOTON_MAP_DC_ACCEPT_PDF_TYPE__	PHTN_MAP_DC_ACCPT_PDF_TYPE	33	26
accumulatedRussianRouletteFactors	accmlRssnRlttFctrs	33	18
complexToGeometricRefractionIndex	cmplxTGmtrcRfrctIndx	33	20
doHigherOrderAreaToAreaFormFactor	dHighOrdAreaTAreaFormFactor	33	27
geomListMultiResolutionVisibility	geomListMultiResVis	33	19
geometryMultiResolutionVisibility	geomMultiResVis	33	15
monteCarloRadiosityDestroyElement	mntCarloRadDestroyElem	33	22
numberOfReceiverCubaturePositions	nmbrORecvCbtrPstns	33	18
randomWalkRadiosityShootingUpdate	rndmWalkRadShootUpd	33	19
sceneBuilderFillFacesBackPointers	sceneBldFillFcsBackPntrs	33	24
sceneBuilderIsReadableRegularFile	sceneBldIReadRegFile	33	20
stochasticJacobiGetSourceRadiance	stchsJacGetSrcRadn	33	18
stochasticJacobiPropagateRadiance	stchsJacPropRadn	33	16
stochasticJacobiPullRdEdFromChild	stchsJacPullRdEdFromChld	33	24
stochasticRadiosityCreateTriBasis	stchsRadCreateTriBasis	33	22
stochasticRadiosityElementDestroy	stchsRadElemDestroy	33	19
surfaceProjectedAreaToSamplePoint	srfcPrjctAreaTSmplPnt	33	21
BidirectionalPathRaytracerConfig	BidirPathRaytrcCnfg	32	19
COLOR_DEFINED_WITH_SPECTRUM_FLAG	CLR_DFND_WITH_SPCTR_FLAG	32	24
MGF_ERROR_ILLEGAL_ARGUMENT_VALUE	MGF_ERRR_ILLGL_ARGMN_VAL	32	24
OptionsGroupStochasticRaytracing	OptsGrpStochRaytr	32	17
__GALERKIN_CLUSTERING_STRATEGY__	GLRKN_CLSTR_STRTG	32	17
__GALERKIN_ELEMENT_RENDER_MODE__	GLRKN_ELMNT_RNDR_MODE	32	21
